rand_num ,joint_distance_sum , ee_distance_sum , k, lambda1, lambda2,time,len(short_path),available_value,,,,,,,,,,,,
100,189.7366596,237.8160159,50,0.1,0.9,0.186057329,2,x,,189.73,237.81,0.18,,,,,912.5609354,274.6268938,0.186057329,
300,912.5609354,274.6268938,50,0.1,0.9,0.985253334,10,o,,912.56,274.62,0.98,,,,,758.586952,264.6609352,0.985253334,
500,758.586952,264.6609352,50,0.1,0.9,2.271197796,10,o,,758.58,264.66,2.27,,,,,646.7001845,257.2604884,2.271197796,
1000,646.7001845,257.2604884,50,0.1,0.9,8.521462202,9,o,,646.7,257.26,8.52,,,,,626.7680971,248.7397799,8.521462202,
1500,626.7680971,248.7397799,50,0.1,0.9,21.05769181,10,o,,626.76,248.73,21.05,,,,,,,21.05769181,
,,,,,,,,,,0,0,0,,,,,526.5594286,249.7209346,,
100,526.5594286,249.7209346,100,0.1,0.9,0.545390844,5,o,,526.55,249.72,0.54,,,,,556.9297027,245.5726646,0.545390844,
300,556.9297027,245.5726646,100,0.1,0.9,3.678774118,5,o,,556.92,245.57,3.67,,,,,502.4683225,249.1813584,3.678774118,
500,502.4683225,249.1813584,100,0.1,0.9,9.187417984,5,o,,502.46,249.18,9.18,,,,,495.9880802,239.4419078,9.187417984,
1000,495.9880802,239.4419078,100,0.1,0.9,51.04594469,5,o,,495.98,239.44,51.04,,,,,495.9880802,239.4419078,51.04594469,
1500,495.9880802,239.4419078,100,0.1,0.9,177.4403622,5,o,,495.98,239.44,177.44,,,,,,,177.4403622,
,,,,,,,,,,0,0,0,,,,,397.8999163,244.366764,,
100,397.8999163,244.366764,150,0.1,0.9,0.893007517,3,o,,397.89,244.36,0.89,,,,,397.8999163,244.366764,0.893007517,
300,397.8999163,244.366764,150,0.1,0.9,6.371276617,3,o,,397.89,244.36,6.37,,,,,397.8999163,244.366764,6.371276617,
500,397.8999163,244.366764,150,0.1,0.9,16.31551242,3,o,,397.89,244.36,16.31,,,,,402.9455582,242.1729293,16.31551242,
1000,402.9455582,242.1729293,150,0.1,0.9,104.848846,4,o,,402.94,242.17,104.84,,,,,406.0960299,240.3784637,104.848846,
